run_name,agent,agent_label,seed,timestep,metric_type,episode_reward,episode_length,evaluation_reward,success_rate,SPS,wall_clock_time,circuit_evaluations,included_in_plots,exclusion_reason
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,3272,train_episode,-191.85256046056813,99,,0.0,,0.564332528458089,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,3312,train_episode,-222.81606051687504,100,,0.0,,0.5712314591238358,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,3424,train_episode,-88.41139712809547,90,,0.0,,0.5905484649879269,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,3496,train_episode,-70.27031328207205,78,,0.0,,0.6029665401862712,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,3616,train_episode,-114.07325803677331,91,,0.0,,0.6236633321835116,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,3728,train_episode,-515.4474373173832,96,,0.0,,0.6429803380476026,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4040,train_episode,-74.69003798837633,67,,0.0,,0.6967919972404277,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4128,train_episode,-365.547647586332,143,,0.0,,0.7119696447050707,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4184,train_episode,-96.80535313876729,113,,0.0,,0.7216281476371162,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4224,train_episode,-484.0492103779829,99,,0.0,,0.728527078302863,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4264,train_episode,-130.0297339602555,118,,0.0,,0.7354260089686099,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4272,train_episode,-133.6219716166144,134,,0.0,,0.7368057951017593,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4432,train_episode,-133.03513341584127,101,,0.0,,0.7644015177647465,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4776,train_episode,-188.31008894856996,130,,0.0,,0.8237323214901691,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4792,train_episode,-66.11172790330758,70,,0.0,,0.8264918937564677,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4840,train_episode,-104.42264637170442,70,,0.0,,0.834770610555364,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4848,train_episode,-48.78451403461538,100,,0.0,,0.8361503966885133,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4888,train_episode,-147.7378161567995,94,,0.0,,0.8430493273542601,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5000,train_episode,-65.64154993851454,91,,0.0,,0.8623663332183512,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5040,train_episode,-165.34982303976858,75,,0.0,,0.869265263884098,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5200,train_episode,-63.675779382310964,126,,0.0,,0.8968609865470852,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5456,train_episode,-82.53400906182452,70,,0.0,,0.9410141428078648,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5584,train_episode,-342.16430114822583,98,,0.0,,0.9630907209382545,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5600,train_episode,-170.5876158178022,102,,0.0,,0.9658502932045533,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5776,train_episode,-387.15677787734137,91,,0.0,,0.9962055881338393,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5784,train_episode,-184.39619114062293,117,,0.0,,0.9975853742669886,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5800,train_episode,-98.19383956417508,74,,0.0,,1.0003449465332874,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5808,train_episode,-281.7911868568799,100,,0.0,,1.0017247326664367,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5960,train_episode,-205.318526070734,138,,0.0,,1.0279406691962745,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6088,train_episode,-79.05016039484136,60,,0.0,,1.0500172473266645,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6312,train_episode,-309.57654528516775,106,,0.0,,1.0886512590548465,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6384,train_episode,-80.4224116851307,99,,0.0,,1.1010693342531908,,no,missing or irregular evaluation rows; missing or irregular checkpoints
2026-06-29--13-49-18_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6480,train_episode,-431.3528490666088,86,,0.0,,1.117626767850983,,no,missing or irregular evaluation rows; missing or irregular checkpoints
