agent,category,runs,environment_steps_completed,wall_clock_time_seconds,qpu_execution_time_seconds,SPS,circuit_evaluations,final_reward,success_rate,status,notes
PPO,Full-training classical,1,2000000.0,362.5271008014679,,5516.0,0,282.6572238868058,1.0,complete full-training result,Included by fairness checker and aggregate plotting rules.
PPO-tiny,Full-training classical,1,2000000.0,531.9063975811005,,3760.0,0,170.23216482041119,0.5,complete full-training result,Included by fairness checker and aggregate plotting rules.
DQN,Full-training classical,2,2000000.0,436.66531873730975,,2853.5,0,263.9404587613242,1.0,complete full-training result,Included by fairness checker and aggregate plotting rules.
QPPO/QRL short-trained,Short-trained simulator feasibility,1,25000.0,1395.2682206630707,,17.0,125000.0,-626.4446621041352,0.0,short-trained only; not comparable as full-training final performance,Source: logs/2026-07-01--00-55-29_qppo_short_trained_lunarlander_seed0/result.json
IBM QPPO hardware inference,IBM inference-only feasibility,1,0,1617.874,2.0,,500.0,,0.8,inference-only; no training and no environment rollout reward,"5 fixed states, 100 shots, backend ibm_kingston, job d92dgg357qjs73b7qcug; wall_clock_time_seconds is total script/job time from output file; qpu_execution_time_seconds is dashboard-reported hardware execution time; success_rate column stores action agreement for this row."
