run_name,agent,agent_label,seed,timestep,metric_type,episode_reward,episode_length,evaluation_reward,success_rate,SPS,wall_clock_time,circuit_evaluations,included_in_plots,exclusion_reason
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,528,train_episode,-129.69134704337623,66,,0.0,,0.12695351165771482,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,688,train_episode,-288.01512869801286,86,,0.0,,0.16542427276611327,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,808,train_episode,-333.07552377321485,101,,0.0,,0.19427734359741208,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,832,train_episode,-148.23147075711893,104,,0.0,,0.20004795776367185,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,864,train_episode,-266.4253504891748,108,,0.0,,0.20774210998535153,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,912,train_episode,-179.0113632729635,114,,0.0,,0.21928333831787108,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,992,train_episode,-197.76140458243128,124,,0.0,,0.2385187188720703,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,1136,train_episode,-487.96768007984645,142,,0.0,,0.2731424038696289,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,1280,train_episode,-331.8322982777636,93,,0.0,,0.3077660888671875,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,1560,train_episode,-253.595616053601,93,,0.0,,0.37508992080688475,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,1592,train_episode,-299.50050619375713,112,,0.0,,0.38278407302856443,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,1712,train_episode,-341.78885065942916,105,,0.0,,0.4116371438598632,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,1744,train_episode,-52.30180577407318,75,,0.0,,0.4193312960815429,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,1856,train_episode,-59.46705441450432,71,,0.0,,0.44626082885742185,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,1864,train_episode,-338.68256054939764,128,,0.0,,0.44818436691284175,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,1872,train_episode,-214.51806104342313,119,,0.0,,0.4501079049682617,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,1928,train_episode,-65.87524126403744,116,,0.0,,0.4635726713562011,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,2208,train_episode,-94.20540079073494,76,,0.0,,0.5308965032958984,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,2216,train_episode,-127.31000481401105,62,,0.0,,0.5328200413513183,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,2376,train_episode,-114.88008068516125,62,,0.0,,0.5712908024597168,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,2472,train_episode,-84.00411035650933,90,,0.0,,0.5943732591247558,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,2496,train_episode,-214.91756731119145,78,,0.0,,0.6001438732910156,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,2504,train_episode,-64.69667652439614,71,,0.0,,0.6020674113464355,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,2696,train_episode,-104.60424204604942,141,,0.0,,0.6482323246765136,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,2864,train_episode,-338.7702104819323,81,,0.0,,0.6886266238403319,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,2880,train_episode,-89.85325165665158,127,,0.0,,0.6924736999511718,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,2952,train_episode,0.9776016814976884,71,,0.0,,0.7097855424499511,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,2976,train_episode,-44.48047157511883,94,,0.0,,0.7155561566162109,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,3192,train_episode,-145.9560627293926,86,,0.0,,0.7674916841125488,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,3272,train_episode,-191.85256046056813,99,,0.0,,0.786727064666748,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,3312,train_episode,-222.81606051687504,100,,0.0,,0.7963447549438476,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,3424,train_episode,-88.41139712809547,90,,0.0,,0.8232742877197264,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,3496,train_episode,-70.27031328207205,78,,0.0,,0.8405861302185058,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,3616,train_episode,-114.07325803677331,91,,0.0,,0.8694392010498047,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,3728,train_episode,-515.4474373173832,96,,0.0,,0.8963687338256835,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4000,training_diagnostic,,,,,3603,1.1100904941558838,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4040,train_episode,-74.69003798837633,67,,0.0,,0.9713867179870604,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4128,train_episode,-365.547647586332,143,,0.0,,0.9925456365966796,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4184,train_episode,-100.37369347594725,113,,0.0,,1.006010402984619,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4224,train_episode,-485.7388953702666,99,,0.0,,1.0156280932617185,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4272,train_episode,-133.6219716166144,134,,0.0,,1.0271693215942381,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4272,train_episode,-128.68798344793004,119,,0.0,,1.0271693215942381,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4472,train_episode,-111.24972090506756,106,,0.0,,1.0752577729797361,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4824,train_episode,-38.59969942837466,74,,0.0,,1.1598934474182128,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4824,train_episode,-93.97973616918597,97,,0.0,,1.1598934474182128,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4848,train_episode,-204.6244430010533,139,,0.0,,1.1656640615844724,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4880,train_episode,-56.370976852415794,75,,0.0,,1.1733582138061522,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4896,train_episode,-123.35063018969382,95,,0.0,,1.177205289916992,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,4896,train_episode,-81.20239668301039,77,,0.0,,1.177205289916992,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5120,train_episode,-70.33559610755199,80,,0.0,,1.23106435546875,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5200,train_episode,-59.31351270565388,126,,0.0,,1.250299736022949,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5544,train_episode,-180.1470929278541,89,,0.0,,1.3330118724060058,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5552,train_episode,-65.25803786714897,83,,0.0,,1.3349354104614257,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5560,train_episode,-103.72802843917792,82,,0.0,,1.3368589485168456,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5608,train_episode,-110.6284353074779,97,,0.0,,1.3484001768493652,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5712,train_episode,-74.74828172286362,107,,0.0,,1.373406171569824,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5816,train_episode,-103.03290188628324,86,,0.0,,1.398412166290283,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5856,train_episode,-108.56605009671857,81,,0.0,,1.4080298565673828,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,5920,train_episode,-366.6652377499492,127,,0.0,,1.4234181610107421,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6216,train_episode,-50.02524612797571,75,,0.0,,1.494589069061279,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6312,train_episode,-97.72173969651553,95,,0.0,,1.5176715257263182,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6328,train_episode,-98.07289413915875,96,,0.0,,1.521518601837158,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6336,train_episode,-114.71876679540657,96,,0.0,,1.523442139892578,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6488,train_episode,-182.99287072262425,70,,0.0,,1.5599893629455566,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6696,train_episode,-326.157437431634,122,,0.0,,1.6100013523864745,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6720,train_episode,-228.52898650132653,107,,0.0,,1.6157719665527341,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6768,train_episode,-80.08471978632016,68,,0.0,,1.6273131948852537,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6856,train_episode,-124.78815040977966,67,,0.0,,1.6484721134948728,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,6912,train_episode,-216.40792088496337,136,,0.0,,1.6619368798828122,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7064,train_episode,-115.386491419398,91,,0.0,,1.6984841029357909,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7272,train_episode,-7.366469778727861,116,,0.0,,1.7484960923767088,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7280,train_episode,-121.56381576978025,72,,0.0,,1.7504196304321287,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7336,train_episode,-96.2941732708435,59,,0.0,,1.7638843968200681,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7496,train_episode,-220.3436100201926,125,,0.0,,1.8023551579284667,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7696,train_episode,-206.9872193267567,115,,0.0,,1.8504436093139647,,yes,
2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,PPO_classical,PPO,0,7856,train_episode,-126.45650921103841,117,,0.0,,1.888914370422363,,yes,
